round,f1,precision,recall,train_loss,method
0,0.8620265172105533,0.9941055336757609,0.7609523340875618,0.10820360955194379,decentralized
1,0.8582460448844357,0.9897672265131809,0.7576023042141466,0.1050866000407131,decentralized
2,0.8453465379354927,0.9889612896760485,0.7381911663921831,0.09430344259062556,decentralized
3,0.8322853652261346,0.9982044900971617,0.7137574486329926,0.08492440727162867,decentralized
4,0.8228226322150114,0.9985686477358204,0.6997074878403049,0.074347883203985,decentralized
5,0.7980030460921825,1.0,0.66395438660825,0.06265204594807422,decentralized
6,0.7884739397827577,1.0,0.6508943448936995,0.053450132193083456,decentralized
7,0.7850106706272686,1.0,0.6461816505271633,0.04801884106499084,decentralized
8,0.8020749028578175,1.0,0.6695948909777304,0.030767108320344426,decentralized
9,0.8581630584292139,0.999871382636656,0.7516864349886598,0.015327871749375726,decentralized
0,0.8629275157377883,0.9937750521149301,0.7626888167162021,0.1110730711132922,centralized
1,0.8434099157780232,0.9585010311672507,0.7530772449482693,0.11416026579995528,centralized
2,0.8265366575852726,0.9829464261499681,0.7132271532366092,0.0892202450874004,centralized
3,0.8122679798499217,0.9790594279930283,0.6941627663715693,0.08524896896688651,centralized
4,0.7968958311139328,0.9978517063975216,0.663451306040795,0.07447639111403033,centralized
5,0.7784361098969332,1.0,0.6373826034213236,0.05672162374389087,centralized
6,0.7857426982126209,1.0,0.6472135024584125,0.04029022392334668,centralized
7,0.8100451801501418,1.0,0.6808879114535559,0.024891534944375356,centralized
8,0.8609715114272962,1.0,0.7560148626596732,0.014779402968202921,centralized
9,0.8632946171863585,1.0,0.7596038471986895,0.009704827692967358,centralized
0,0.8238742744322242,0.9871330695758802,0.707103296915417,0.1111497977629621,local
1,0.7989460908952268,1.0,0.665253185185745,0.07267112177103124,local
2,0.7892015500314697,1.0,0.6518471760819917,0.054659209712177304,local
3,0.786791043968309,1.0,0.6485897326170599,0.042299835003436884,local
4,0.8051616605254308,1.0,0.6739208924357982,0.026970086031401837,local
5,0.8150325983657766,1.0,0.6880612433557299,0.016953690672385776,local
6,0.8393523885322288,0.9991573033707866,0.7237338043040106,0.011535686601930897,local
7,0.8444864345318649,0.9986187490302211,0.7317213605103069,0.009537324575535583,local
8,0.8508007950966489,0.9997265892002734,0.7406852409189069,0.008368134369796262,local
9,0.856781778367656,1.0,0.7496743364597169,0.007569722457399184,local
